locus_tag	ftype	length_bp	gene	EC_number	COG	product
Liflandii_00021	CDS	1560	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
Liflandii_00022	gene	468	fhaB			
Liflandii_00022	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
Liflandii_00023	gene	1641	fhaA			
Liflandii_00023	CDS	1641	fhaA		COG1716	FHA domain-containing protein FhaA
Liflandii_00024	gene	84				
Liflandii_00024	tRNA	84				tRNA-Leu(cag)
Liflandii_00025	gene	648				
Liflandii_00025	CDS	648				hypothetical protein
Liflandii_00026	gene	801				
Liflandii_00026	CDS	801				hypothetical protein
Liflandii_00027	gene	753				
Liflandii_00027	CDS	753				hypothetical protein
Liflandii_00028	gene	1005	osmX			
Liflandii_00028	CDS	1005	osmX		COG1732	Osmoprotectant-binding protein OsmX
Liflandii_00029	gene	810				
Liflandii_00029	CDS	810				hypothetical protein
Liflandii_00030	gene	1200	opuCA			
Liflandii_00030	CDS	1200	opuCA		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
Liflandii_00031	gene	702	opuBB_1			
Liflandii_00031	CDS	702	opuBB_1		COG1174	Choline transport system permease protein OpuBB
Liflandii_00032	gene	408				
Liflandii_00032	CDS	408				hypothetical protein
Liflandii_00033	gene	960				
Liflandii_00033	CDS	960				hypothetical protein
Liflandii_00034	gene	1326	nrgA			
Liflandii_00034	CDS	1326	nrgA			Ammonium transporter
Liflandii_00035	gene	300				
Liflandii_00035	CDS	300				hypothetical protein
Liflandii_00036	gene	969				
Liflandii_00036	CDS	969				hypothetical protein
Liflandii_00037	gene	417	whiB5			
Liflandii_00037	CDS	417	whiB5			Transcriptional regulator WhiB5
Liflandii_00038	gene	792				
Liflandii_00038	CDS	792			COG1396	putative HTH-type transcriptional regulator
Liflandii_00039	gene	828				
Liflandii_00039	CDS	828				hypothetical protein
Liflandii_00040	gene	381				
Liflandii_00040	CDS	381				putative protein
Liflandii_00041	gene	1266				
Liflandii_00041	CDS	1266				hypothetical protein
Liflandii_00042	gene	318				
Liflandii_00042	CDS	318				hypothetical protein
Liflandii_00043	gene	306				
Liflandii_00043	CDS	306				putative protein
Liflandii_00044	gene	1107				
Liflandii_00044	CDS	1107				hypothetical protein
Liflandii_00045	gene	129				
Liflandii_00045	CDS	129				hypothetical protein
Liflandii_00046	gene	318				
Liflandii_00046	CDS	318				putative protein
Liflandii_00047	gene	255				
Liflandii_00047	CDS	255				hypothetical protein
Liflandii_00048	gene	774				
Liflandii_00048	CDS	774				putative protein
Liflandii_00049	gene	1293				
Liflandii_00049	CDS	1293			COG0477	putative MFS-type transporter
Liflandii_00050	gene	540				
Liflandii_00050	CDS	540				hypothetical protein
Liflandii_00051	gene	1038				
Liflandii_00051	CDS	1038				hypothetical protein
Liflandii_00052	gene	351				
Liflandii_00052	CDS	351				hypothetical protein
Liflandii_00053	gene	840				
Liflandii_00053	CDS	840				hypothetical protein
Liflandii_00054	gene	3012	leuS			
Liflandii_00054	CDS	3012	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
Liflandii_00055	gene	666				
Liflandii_00055	CDS	666		1.-.-.-	COG4221	putative oxidoreductase
Liflandii_00056	gene	504				
Liflandii_00056	CDS	504				hypothetical protein
Liflandii_00057	gene	750	glnQ			
Liflandii_00057	CDS	750	glnQ			Glutamine transport ATP-binding protein GlnQ
Liflandii_00058	gene	1773				
Liflandii_00058	CDS	1773				hypothetical protein
Liflandii_00059	gene	765				
Liflandii_00059	CDS	765			COG1802	putative HTH-type transcriptional regulator
Liflandii_00060	gene	798	rutA_1			
Liflandii_00060	CDS	798	rutA_1	1.14.99.46		Pyrimidine monooxygenase RutA
Liflandii_00061	gene	912	menH_1			
Liflandii_00061	CDS	912	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Liflandii_00062	gene	1119	ino1			
Liflandii_00062	CDS	1119	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
Liflandii_00063	gene	543				
Liflandii_00063	CDS	543				hypothetical protein
Liflandii_00064	gene	939				
Liflandii_00064	CDS	939				putative protein
Liflandii_00065	gene	414				
Liflandii_00065	CDS	414				putative protein
Liflandii_00066	gene	2073	ponA1			
Liflandii_00066	CDS	2073	ponA1		COG0744	Penicillin-binding protein 1A
Liflandii_00067	gene	1641				
Liflandii_00067	CDS	1641				hypothetical protein
Liflandii_00068	gene	639	inhA_1			
Liflandii_00068	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
Liflandii_00069	gene	291	rpsF			
Liflandii_00069	CDS	291	rpsF		COG0360	30S ribosomal protein S6
Liflandii_00070	gene	510	ssb			
Liflandii_00070	CDS	510	ssb		COG0629	Single-stranded DNA-binding protein
Liflandii_00071	gene	255	rpsR1			
Liflandii_00071	CDS	255	rpsR1		COG0238	30S ribosomal protein S18 1
Liflandii_00072	gene	459	rplI			
Liflandii_00072	CDS	459	rplI		COG0359	50S ribosomal protein L9
Liflandii_00073	gene	1383	dnaB			
Liflandii_00073	CDS	1383	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
Liflandii_00074	gene	645				
Liflandii_00074	CDS	645				hypothetical protein
Liflandii_00075	gene	780	rutD_1			
Liflandii_00075	CDS	780	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
Liflandii_00076	gene	1767				
Liflandii_00076	CDS	1767				hypothetical protein
Liflandii_00077	gene	603				
Liflandii_00077	CDS	603				hypothetical protein
Liflandii_00078	gene	660				
Liflandii_00078	CDS	660				putative protein
Liflandii_00079	gene	1596	mdtD_1			
Liflandii_00079	CDS	1596	mdtD_1			Putative multidrug resistance protein MdtD
Liflandii_00080	gene	282				
Liflandii_00080	CDS	282				hypothetical protein
Liflandii_00081	gene	858				
Liflandii_00081	CDS	858				hypothetical protein
Liflandii_00082	gene	522				
Liflandii_00082	CDS	522				hypothetical protein
Liflandii_00083	gene	720				
Liflandii_00083	CDS	720				hypothetical protein
Liflandii_00084	gene	1077				
Liflandii_00084	CDS	1077		6.2.1.50	COG0318	p-hydroxybenzoic acid--AMP ligase FadD22
Liflandii_00085	gene	3510	menE_1			
Liflandii_00085	CDS	3510	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
Liflandii_00086	gene	1845	pks1_1			
Liflandii_00086	CDS	1845	pks1_1			Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1
Liflandii_00087	gene	1887	pks1_2			
Liflandii_00087	CDS	1887	pks1_2			Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1
Liflandii_00088	gene	765				
Liflandii_00088	CDS	765				hypothetical protein
Liflandii_00089	gene	924				
Liflandii_00089	CDS	924		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
Liflandii_00090	gene	306				
Liflandii_00090	CDS	306				hypothetical protein
Liflandii_00091	gene	1005				
Liflandii_00091	CDS	1005				hypothetical protein
Liflandii_00092	gene	1014	cenA			
Liflandii_00092	CDS	1014	cenA	3.2.1.4	COG5297	Endoglucanase A
Liflandii_00093	gene	606				
Liflandii_00093	CDS	606				hypothetical protein
Liflandii_00094	gene	750				
Liflandii_00094	CDS	750				hypothetical protein
Liflandii_00095	gene	915				
Liflandii_00095	CDS	915				hypothetical protein
Liflandii_00096	gene	276				
Liflandii_00096	CDS	276				hypothetical protein
Liflandii_00097	gene	1506	yvdP_1			
Liflandii_00097	CDS	1506	yvdP_1	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
Liflandii_00098	gene	975				
Liflandii_00098	CDS	975				hypothetical protein
Liflandii_00099	gene	1302				
Liflandii_00099	CDS	1302				hypothetical protein
Liflandii_00100	gene	978	linB_1			
Liflandii_00100	CDS	978	linB_1	3.8.1.5		Haloalkane dehalogenase
Liflandii_00101	gene	600				
Liflandii_00101	CDS	600				hypothetical protein
Liflandii_00102	gene	261				
Liflandii_00102	CDS	261				hypothetical protein
Liflandii_00103	gene	1008				
Liflandii_00103	CDS	1008				hypothetical protein
Liflandii_00104	gene	762				
Liflandii_00104	CDS	762				hypothetical protein
Liflandii_00105	gene	576				
Liflandii_00105	CDS	576				hypothetical protein
Liflandii_00106	gene	1389	ftsH_1			
Liflandii_00106	CDS	1389	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
Liflandii_00107	gene	1998				
Liflandii_00107	CDS	1998		1.-.-.-	COG0243	putative oxidoreductase
Liflandii_00108	gene	336				
Liflandii_00108	CDS	336		1.-.-.-	COG0243	putative oxidoreductase
Liflandii_00109	gene	1239	mycG_1			
Liflandii_00109	CDS	1239	mycG_1	1.14.-.-		Mycinamicin IV hydroxylase/epoxidase
Liflandii_00110	gene	3336				
Liflandii_00110	CDS	3336				hypothetical protein
Liflandii_00111	gene	933				
Liflandii_00111	CDS	933				hypothetical protein
Liflandii_00112	gene	447				
Liflandii_00112	CDS	447				hypothetical protein
Liflandii_00113	gene	759				
Liflandii_00113	CDS	759				hypothetical protein
Liflandii_00114	gene	1110	adhD			
Liflandii_00114	CDS	1110	adhD	1.1.1.1	COG1062	Putative alcohol dehydrogenase D
Liflandii_00115	gene	1023	mimB			
Liflandii_00115	CDS	1023	mimB	1.18.1.-		Propane 2-monooxygenase, reductase component
Liflandii_00116	gene	318	mmoB			
Liflandii_00116	CDS	318	mmoB			Methane monooxygenase regulatory protein B
Liflandii_00117	gene	1092	prmC_1			
Liflandii_00117	CDS	1092	prmC_1	1.14.13.227		Propane 2-monooxygenase, hydroxylase component small subunit
Liflandii_00118	gene	1260	mmoX			
Liflandii_00118	CDS	1260	mmoX	1.14.13.25		Methane monooxygenase component A alpha chain
Liflandii_00119	gene	627	narL_1			
Liflandii_00119	CDS	627	narL_1		COG2197	putative transcriptional regulatory protein NarL
Liflandii_00120	gene	1095				
Liflandii_00120	CDS	1095				hypothetical protein
Liflandii_00121	gene	315				
Liflandii_00121	CDS	315				hypothetical protein
Liflandii_00122	gene	720	nudL_1			
Liflandii_00122	CDS	720	nudL_1	3.6.1.-		putative Nudix hydrolase NudL
Liflandii_00123	gene	1185	mdtH_1			
Liflandii_00123	CDS	1185	mdtH_1			Multidrug resistance protein MdtH
Liflandii_00124	gene	252				
Liflandii_00124	CDS	252				hypothetical protein
Liflandii_00125	gene	1194				
Liflandii_00125	CDS	1194				hypothetical protein
Liflandii_00126	gene	2226				
Liflandii_00126	CDS	2226		1.3.99.-		Acyl-CoA dehydrogenase FadE34
Liflandii_00127	gene	867				
Liflandii_00127	CDS	867				hypothetical protein
Liflandii_00128	gene	576	kstR_1			
Liflandii_00128	CDS	576	kstR_1			HTH-type transcriptional repressor KstR
Liflandii_00129	gene	1212				
Liflandii_00129	CDS	1212				hypothetical protein
Liflandii_00130	gene	399				
Liflandii_00130	CDS	399				hypothetical protein
Liflandii_00131	gene	417				
Liflandii_00131	CDS	417				putative proteinA
Liflandii_00132	gene	492	ohrR			
Liflandii_00132	CDS	492	ohrR			Organic hydroperoxide resistance transcriptional regulator
Liflandii_00133	gene	1158				
Liflandii_00133	CDS	1158				hypothetical protein
Liflandii_00134	gene	771				
Liflandii_00134	CDS	771				hypothetical protein
Liflandii_00135	gene	1209				
Liflandii_00135	CDS	1209		2.4.-.-	COG1819	putative glycosyltransferase
Liflandii_00136	gene	1212	acdA_1			
Liflandii_00136	CDS	1212	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
Liflandii_00137	gene	645				
Liflandii_00137	CDS	645				hypothetical protein
Liflandii_00138	gene	1218	eis_1			
Liflandii_00138	CDS	1218	eis_1	2.3.1.-	COG4552	N-acetyltransferase Eis
Liflandii_00139	gene	567				
Liflandii_00139	CDS	567				hypothetical protein
Liflandii_00140	gene	432				
Liflandii_00140	CDS	432				hypothetical protein
Liflandii_00141	gene	1041				
Liflandii_00141	CDS	1041		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
Liflandii_00142	gene	1056				
Liflandii_00142	CDS	1056				hypothetical protein
Liflandii_00143	gene	1224	bbsG_1			
Liflandii_00143	CDS	1224	bbsG_1	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
Liflandii_00144	gene	1125				
Liflandii_00144	CDS	1125		4.6.1.1	COG2114	pH-sensitive adenylate cyclase
Liflandii_00145	gene	2238	icd_1			
Liflandii_00145	CDS	2238	icd_1	1.1.1.42	COG2838	Isocitrate dehydrogenase [NADP]
Liflandii_00146	gene	1302				
Liflandii_00146	CDS	1302				hypothetical protein
Liflandii_00147	gene	837				
Liflandii_00147	CDS	837				hypothetical protein
Liflandii_00148	gene	807				
Liflandii_00148	CDS	807				hypothetical protein
Liflandii_00149	gene	726				
Liflandii_00149	CDS	726				hypothetical protein
Liflandii_00150	gene	1089				
Liflandii_00150	CDS	1089				hypothetical protein
Liflandii_00151	gene	1182	yghO			
Liflandii_00151	CDS	1182	yghO			Protein YghO
Liflandii_00152	gene	981	oleD_1			
Liflandii_00152	CDS	981	oleD_1	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
Liflandii_00153	gene	1098				
Liflandii_00153	CDS	1098				hypothetical protein
Liflandii_00154	gene	1350	dat			
Liflandii_00154	CDS	1350	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
Liflandii_00155	gene	1509	ddc			
Liflandii_00155	CDS	1509	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
Liflandii_00156	gene	744				
Liflandii_00156	CDS	744				hypothetical protein
Liflandii_00157	gene	507				
Liflandii_00157	CDS	507				hypothetical protein
Liflandii_00158	gene	729				
Liflandii_00158	CDS	729				hypothetical protein
Liflandii_00159	gene	975	btuD_1			
Liflandii_00159	CDS	975	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Liflandii_00160	gene	777				
Liflandii_00160	CDS	777				hypothetical protein
Liflandii_00161	gene	282	acpP_1			
Liflandii_00161	CDS	282	acpP_1			Acyl carrier protein
Liflandii_00162	gene	1641				
Liflandii_00162	CDS	1641		6.2.1.-	COG0318	Putative ligase/MSMEI_5285
Liflandii_00163	gene	846				
Liflandii_00163	CDS	846				hypothetical protein
Liflandii_00164	gene	867				
Liflandii_00164	CDS	867				hypothetical protein
Liflandii_00165	gene	1491				
Liflandii_00165	CDS	1491				hypothetical protein
Liflandii_00166	gene	1074				
Liflandii_00166	CDS	1074				hypothetical protein
Liflandii_00167	gene	1047				
Liflandii_00167	CDS	1047				hypothetical protein
Liflandii_00168	gene	1113				
Liflandii_00168	CDS	1113				hypothetical protein
Liflandii_00169	gene	1128				
Liflandii_00169	CDS	1128				hypothetical protein
Liflandii_00170	gene	1239				
Liflandii_00170	CDS	1239				hypothetical protein
Liflandii_00171	gene	2553				
Liflandii_00171	CDS	2553				hypothetical protein
Liflandii_00172	gene	129				
Liflandii_00172	CDS	129				hypothetical protein
Liflandii_00173	gene	303	esxB_1			
Liflandii_00173	CDS	303	esxB_1			ESAT-6-like protein EsxB
Liflandii_00174	gene	288	esxA_1			
Liflandii_00174	CDS	288	esxA_1		COG4842	ESAT-6-like protein EsxA
Liflandii_00175	gene	348	espJ_1			
Liflandii_00175	CDS	348	espJ_1			ESX-1 secretion-associated protein EspJ
Liflandii_00176	gene	372				
Liflandii_00176	CDS	372				hypothetical protein
Liflandii_00177	gene	2052				
Liflandii_00177	CDS	2052				hypothetical protein
Liflandii_00178	gene	492	espK			
Liflandii_00178	CDS	492	espK			ESX-1 secretion-associated protein EspK
Liflandii_00179	gene	276				
Liflandii_00179	CDS	276				hypothetical protein
Liflandii_00180	gene	558	betI_1			
Liflandii_00180	CDS	558	betI_1			HTH-type transcriptional regulator BetI
Liflandii_00181	gene	1614				
Liflandii_00181	CDS	1614		1.3.99.5		3-oxo-5-alpha-steroid 4-dehydrogenase
Liflandii_00182	gene	1386	sdaA			
Liflandii_00182	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
Liflandii_00183	gene	1278	glyA2			
Liflandii_00183	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
Liflandii_00184	gene	405	gcvH_1			
Liflandii_00184	CDS	405	gcvH_1		COG0509	Glycine cleavage system H protein
Liflandii_00185	gene	1128	gcvT_1			
Liflandii_00185	CDS	1128	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
Liflandii_00186	gene	2886	gcvP_1			
Liflandii_00186	CDS	2886	gcvP_1	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating)
Liflandii_00187	gene	1371				
Liflandii_00187	CDS	1371		1.14.13.239		Carnitine monooxygenase oxygenase subunit
Liflandii_00188	gene	1761				
Liflandii_00188	CDS	1761			COG3653	putative protein
Liflandii_00189	gene	378				
Liflandii_00189	CDS	378				hypothetical protein
Liflandii_00190	gene	1050				
Liflandii_00190	CDS	1050			COG0577	putative ABC transporter permease
Liflandii_00191	gene	993				
Liflandii_00191	CDS	993			COG0664	putative ABC transporter ATP-binding protein
Liflandii_00192	gene	540				
Liflandii_00192	CDS	540				hypothetical protein
Liflandii_00193	gene	858				
Liflandii_00193	CDS	858				hypothetical protein
Liflandii_00194	gene	360				
Liflandii_00194	CDS	360				hypothetical protein
Liflandii_00195	gene	273				
Liflandii_00195	CDS	273				hypothetical protein
Liflandii_00196	gene	927				
Liflandii_00196	CDS	927				hypothetical protein
Liflandii_00197	gene	318				
Liflandii_00197	CDS	318				hypothetical protein
Liflandii_00198	gene	633				
Liflandii_00198	CDS	633				hypothetical protein
Liflandii_00199	gene	345				
Liflandii_00199	CDS	345				hypothetical protein
Liflandii_00200	gene	312				
Liflandii_00200	CDS	312				hypothetical protein
Liflandii_00201	gene	1215				
Liflandii_00201	CDS	1215				hypothetical protein
Liflandii_00202	gene	1098				
Liflandii_00202	CDS	1098				hypothetical protein
Liflandii_00203	gene	594				
Liflandii_00203	CDS	594				hypothetical protein
Liflandii_00204	gene	831	dhmA_1			
Liflandii_00204	CDS	831	dhmA_1	3.8.1.5		Haloalkane dehalogenase
Liflandii_00205	gene	606	tetC			
Liflandii_00205	CDS	606	tetC			Transposon Tn10 TetC protein
Liflandii_00206	gene	261				
Liflandii_00206	CDS	261				hypothetical protein
Liflandii_00207	gene	609				
Liflandii_00207	CDS	609				hypothetical protein
Liflandii_00208	gene	912				
Liflandii_00208	CDS	912				hypothetical protein
Liflandii_00209	gene	519				
Liflandii_00209	CDS	519				hypothetical protein
Liflandii_00210	gene	807				
Liflandii_00210	CDS	807				hypothetical protein
Liflandii_00211	gene	1200	yeaW_1			
Liflandii_00211	CDS	1200	yeaW_1	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
Liflandii_00212	gene	2370	ctpA_1			
Liflandii_00212	CDS	2370	ctpA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
Liflandii_00213	gene	891				
Liflandii_00213	CDS	891				hypothetical protein
Liflandii_00214	gene	213				
Liflandii_00214	CDS	213				hypothetical protein
Liflandii_00215	gene	474				
Liflandii_00215	CDS	474				putative protein
Liflandii_00216	gene	564				
Liflandii_00216	CDS	564				hypothetical protein
Liflandii_00217	gene	975				
Liflandii_00217	CDS	975				hypothetical protein
Liflandii_00218	gene	663	betI_2			
Liflandii_00218	CDS	663	betI_2			HTH-type transcriptional regulator BetI
Liflandii_00219	gene	630	betI_3			
Liflandii_00219	CDS	630	betI_3			HTH-type transcriptional regulator BetI
Liflandii_00220	gene	1302				
Liflandii_00220	CDS	1302				hypothetical protein
Liflandii_00221	gene	639				
Liflandii_00221	CDS	639			COG3305	putative protein
Liflandii_00222	gene	615				
Liflandii_00222	CDS	615				hypothetical protein
Liflandii_00223	gene	861	hsdA			
Liflandii_00223	CDS	861	hsdA	1.1.1.50		3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase
Liflandii_00224	gene	492				
Liflandii_00224	CDS	492				hypothetical protein
Liflandii_00225	gene	825				
Liflandii_00225	CDS	825				hypothetical protein
Liflandii_00226	gene	756	mtnN			
Liflandii_00226	CDS	756	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
Liflandii_00227	gene	486				
Liflandii_00227	CDS	486				hypothetical protein
Liflandii_00228	gene	804				
Liflandii_00228	CDS	804				hypothetical protein
Liflandii_00229	gene	2913	mmpL4_1			
Liflandii_00229	CDS	2913	mmpL4_1		COG2409	Siderophore exporter MmpL4
Liflandii_00230	gene	4251	dltA_1			
Liflandii_00230	CDS	4251	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
Liflandii_00231	gene	252				
Liflandii_00231	CDS	252				putative protein
Liflandii_00232	gene	1596				
Liflandii_00232	CDS	1596		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
Liflandii_00233	gene	555				
Liflandii_00233	CDS	555				putative protein
Liflandii_00234	gene	870				
Liflandii_00234	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
Liflandii_00235	gene	1419				
Liflandii_00235	CDS	1419				putative PPE family protein PPE37
Liflandii_00236	gene	810				
Liflandii_00236	CDS	810				hypothetical protein
Liflandii_00237	gene	702				
Liflandii_00237	CDS	702			COG5660	putative protein
Liflandii_00238	gene	2292	ctpA_2			
Liflandii_00238	CDS	2292	ctpA_2	7.2.2.8	COG2217	Copper-exporting P-type ATPase
Liflandii_00239	gene	555	sigC_1			
Liflandii_00239	CDS	555	sigC_1		COG1595	ECF RNA polymerase sigma factor SigC
Liflandii_00240	gene	735				
Liflandii_00240	CDS	735				putative protein
Liflandii_00241	gene	1977				
Liflandii_00241	CDS	1977			COG3336	putative protein
Liflandii_00242	gene	219				
Liflandii_00242	CDS	219				hypothetical protein
Liflandii_00243	gene	2274	ctpB			
Liflandii_00243	CDS	2274	ctpB	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
Liflandii_00244	gene	807	linC			
Liflandii_00244	CDS	807	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
Liflandii_00245	gene	1272	cypX			
Liflandii_00245	CDS	1272	cypX	1.14.15.13	COG2124	Pulcherriminic acid synthase
Liflandii_00246	gene	2001				
Liflandii_00246	CDS	2001				hypothetical protein
Liflandii_00247	gene	1164	ispG_1			
Liflandii_00247	CDS	1164	ispG_1	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
Liflandii_00248	gene	1674	dxs_1			
Liflandii_00248	CDS	1674	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
Liflandii_00249	gene	171				
Liflandii_00249	CDS	171				hypothetical protein
Liflandii_00250	gene	1002	ispH1			
Liflandii_00250	CDS	1002	ispH1	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1
Liflandii_00251	gene	351				
Liflandii_00251	CDS	351				hypothetical protein
Liflandii_00252	gene	1299				
Liflandii_00252	CDS	1299				hypothetical protein
Liflandii_00253	gene	627				
Liflandii_00253	CDS	627				hypothetical protein
Liflandii_00254	gene	744				
Liflandii_00254	CDS	744				hypothetical protein
Liflandii_00255	gene	990				
Liflandii_00255	CDS	990		4.2.3.62		(-)-gamma-cadinene synthase ((2Z,6E)-farnesyl diphosphate cyclizing)
Liflandii_00256	gene	1389	ptlI			
Liflandii_00256	CDS	1389	ptlI	1.14.15.32	COG2124	Pentalenene oxygenase
Liflandii_00257	gene	1035				
Liflandii_00257	CDS	1035		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
Liflandii_00258	gene	1356				
Liflandii_00258	CDS	1356		1.14.13.106	COG2124	Epi-isozizaene 5-monooxygenase/(E)-beta-farnesene synthase
Liflandii_00259	gene	1209	plcA			
Liflandii_00259	CDS	1209	plcA	3.1.4.3	COG3511	Phospholipase C 1
Liflandii_00260	gene	1575				
Liflandii_00260	CDS	1575				hypothetical protein
Liflandii_00261	gene	1377	rutD_2			
Liflandii_00261	CDS	1377	rutD_2	3.5.1.-		Putative aminoacrylate hydrolase RutD
Liflandii_00262	gene	606				
Liflandii_00262	CDS	606				hypothetical protein
Liflandii_00263	gene	951				
Liflandii_00263	CDS	951				hypothetical protein
Liflandii_00264	gene	264				
Liflandii_00264	CDS	264				hypothetical protein
Liflandii_00265	gene	306	rpsN			
Liflandii_00265	CDS	306	rpsN		COG0199	30S ribosomal protein S14
Liflandii_00266	gene	165	rpmG2_1			
Liflandii_00266	CDS	165	rpmG2_1		COG0267	50S ribosomal protein L33 2
Liflandii_00267	gene	237	rpmB_1			
Liflandii_00267	CDS	237	rpmB_1		COG0227	50S ribosomal protein L28
Liflandii_00268	gene	777				
Liflandii_00268	CDS	777			COG0523	putative protein
Liflandii_00269	gene	414				
Liflandii_00269	CDS	414			COG0523	putative protein
Liflandii_00270	gene	273	rpmE2			
Liflandii_00270	CDS	273	rpmE2		COG0254	50S ribosomal protein L31 type B
Liflandii_00271	gene	900				
Liflandii_00271	CDS	900				hypothetical protein
Liflandii_00272	gene	1587	fadD3_1			
Liflandii_00272	CDS	1587	fadD3_1	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
Liflandii_00273	gene	4863	ctpI_1			
Liflandii_00273	CDS	4863	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
Liflandii_00274	gene	234				
Liflandii_00274	CDS	234				hypothetical protein
Liflandii_00275	gene	1302				
