locus_tag	ftype	length_bp	gene	EC_number	COG	product
Agy99_00037	gene	1314	nrgA			
Agy99_00037	CDS	1314	nrgA			Ammonium transporter
Agy99_00038	gene	300				
Agy99_00038	CDS	300				hypothetical protein
Agy99_00039	gene	771				
Agy99_00039	CDS	771				hypothetical protein
Agy99_00040	gene	417	whiB5			
Agy99_00040	CDS	417	whiB5			Transcriptional regulator WhiB5
Agy99_00041	gene	792				
Agy99_00041	CDS	792			COG1396	putative HTH-type transcriptional regulator
Agy99_00042	gene	828				
Agy99_00042	CDS	828				hypothetical protein
Agy99_00043	gene	381				
Agy99_00043	CDS	381				putative protein
Agy99_00044	gene	1266				
Agy99_00044	CDS	1266				hypothetical protein
Agy99_00045	gene	318				
Agy99_00045	CDS	318				hypothetical protein
Agy99_00046	gene	405				
Agy99_00046	CDS	405				hypothetical protein
Agy99_00047	gene	1107				
Agy99_00047	CDS	1107				hypothetical protein
Agy99_00048	gene	318				
Agy99_00048	CDS	318				putative protein
Agy99_00049	gene	183				
Agy99_00049	CDS	183				hypothetical protein
Agy99_00050	gene	774				
Agy99_00050	CDS	774				putative protein
Agy99_00051	gene	1293				
Agy99_00051	CDS	1293			COG0477	putative MFS-type transporter
Agy99_00052	gene	540				
Agy99_00052	CDS	540				hypothetical protein
Agy99_00053	gene	1041				
Agy99_00053	CDS	1041				hypothetical protein
Agy99_00054	gene	351				
Agy99_00054	CDS	351				hypothetical protein
Agy99_00055	gene	1134				
Agy99_00055	CDS	1134				hypothetical protein
Agy99_00056	gene	3012	leuS			
Agy99_00056	CDS	3012	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
Agy99_00057	gene	666				
Agy99_00057	CDS	666		1.-.-.-	COG4221	putative oxidoreductase
Agy99_00058	gene	504				
Agy99_00058	CDS	504				hypothetical protein
Agy99_00059	gene	267	tcyC			
Agy99_00059	CDS	267	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
Agy99_00060	gene	501	glnQ			
Agy99_00060	CDS	501	glnQ			Glutamine transport ATP-binding protein GlnQ
Agy99_00061	gene	501				
Agy99_00061	CDS	501				hypothetical protein
Agy99_00062	gene	1287				
Agy99_00062	CDS	1287				hypothetical protein
Agy99_00063	gene	765				
Agy99_00063	CDS	765			COG1802	putative HTH-type transcriptional regulator
Agy99_00064	gene	798	rutA_1			
Agy99_00064	CDS	798	rutA_1	1.14.99.46		Pyrimidine monooxygenase RutA
Agy99_00065	gene	930	menH_1			
Agy99_00065	CDS	930	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Agy99_00066	gene	1119	ino1			
Agy99_00066	CDS	1119	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
Agy99_00067	gene	543				
Agy99_00067	CDS	543				hypothetical protein
Agy99_00068	gene	939				
Agy99_00068	CDS	939				putative protein
Agy99_00069	gene	435				
Agy99_00069	CDS	435				putative protein
Agy99_00070	gene	2538	ponA1			
Agy99_00070	CDS	2538	ponA1		COG0744	Penicillin-binding protein 1A
Agy99_00071	gene	1641				
Agy99_00071	CDS	1641				hypothetical protein
Agy99_00072	gene	639	inhA_1			
Agy99_00072	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
Agy99_00073	gene	291	rpsF			
Agy99_00073	CDS	291	rpsF		COG0360	30S ribosomal protein S6
Agy99_00074	gene	516	ssb			
Agy99_00074	CDS	516	ssb		COG0629	Single-stranded DNA-binding protein
Agy99_00075	gene	255	rpsR1			
Agy99_00075	CDS	255	rpsR1		COG0238	30S ribosomal protein S18 1
Agy99_00076	gene	459	rplI			
Agy99_00076	CDS	459	rplI		COG0359	50S ribosomal protein L9
Agy99_00077	gene	1383	dnaB			
Agy99_00077	CDS	1383	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
Agy99_00078	gene	645				
Agy99_00078	CDS	645				hypothetical protein
Agy99_00079	gene	780	rutD_1			
Agy99_00079	CDS	780	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
Agy99_00080	gene	438				
Agy99_00080	CDS	438				hypothetical protein
Agy99_00081	gene	1329				
Agy99_00081	CDS	1329				hypothetical protein
Agy99_00082	gene	615				
Agy99_00082	CDS	615				hypothetical protein
Agy99_00083	gene	336				
Agy99_00083	CDS	336				putative protein
Agy99_00084	gene	930				
Agy99_00084	CDS	930				hypothetical protein
Agy99_00085	gene	555	mdtD_1			
Agy99_00085	CDS	555	mdtD_1			Putative multidrug resistance protein MdtD
Agy99_00086	gene	288	mmpL4_1			
Agy99_00086	CDS	288	mmpL4_1		COG2409	Siderophore exporter MmpL4
Agy99_00087	gene	585				
Agy99_00087	CDS	585				hypothetical protein
Agy99_00088	gene	744				
Agy99_00088	CDS	744				hypothetical protein
Agy99_00089	gene	936				
Agy99_00089	CDS	936				hypothetical protein
Agy99_00090	gene	306				
Agy99_00090	CDS	306				hypothetical protein
Agy99_00091	gene	417				
Agy99_00091	CDS	417				hypothetical protein
Agy99_00092	gene	1236				
Agy99_00092	CDS	1236				hypothetical protein
Agy99_00093	gene	1248				
Agy99_00093	CDS	1248				hypothetical protein
Agy99_00094	gene	831				
Agy99_00094	CDS	831				hypothetical protein
Agy99_00095	gene	930	glfT1			
Agy99_00095	CDS	930	glfT1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
Agy99_00096	gene	843	btuD_1			
Agy99_00096	CDS	843	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Agy99_00097	gene	534	bpa			
Agy99_00097	CDS	534	bpa			Bacterial proteasome activator
Agy99_00098	gene	1968				
Agy99_00098	CDS	1968				hypothetical protein
Agy99_00099	gene	1197				
Agy99_00099	CDS	1197			COG0520	putative protein
Agy99_00100	gene	993				
Agy99_00100	CDS	993		1.3.1.103		2-haloacrylate reductase
Agy99_00101	gene	90				
Agy99_00101	tRNA	90				tRNA-Ser(tga)
Agy99_00102	gene	144				
Agy99_00102	CDS	144				hypothetical protein
Agy99_00103	gene	915				
Agy99_00103	CDS	915				putative PPE family protein PPE42
Agy99_00104	gene	1302				
Agy99_00104	CDS	1302				hypothetical protein
Agy99_00105	gene	1041				
Agy99_00105	CDS	1041				IS256 family transposase IS2606
Agy99_00106	gene	1302				
Agy99_00106	CDS	1302				hypothetical protein
Agy99_00107	gene	867				
Agy99_00107	CDS	867				hypothetical protein
Agy99_00108	gene	600				
Agy99_00108	CDS	600				hypothetical protein
Agy99_00109	gene	1035	fba			
Agy99_00109	CDS	1035	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
Agy99_00110	gene	693				
Agy99_00110	CDS	693			COG0586	putative membrane protein
Agy99_00111	gene	1116				
Agy99_00111	CDS	1116				hypothetical protein
Agy99_00112	gene	510	cya_1			
Agy99_00112	CDS	510	cya_1	4.6.1.1	COG2114	Adenylate cyclase
Agy99_00113	gene	819	cya_2			
Agy99_00113	CDS	819	cya_2	4.6.1.1	COG2114	Adenylate cyclase
Agy99_00114	gene	990				
Agy99_00114	CDS	990				hypothetical protein
Agy99_00115	gene	315				
Agy99_00115	CDS	315				hypothetical protein
Agy99_00116	gene	993	eutB_1			
Agy99_00116	CDS	993	eutB_1	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
Agy99_00117	gene	444	eutB_2			
Agy99_00117	CDS	444	eutB_2	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
Agy99_00118	gene	774	eutC			
Agy99_00118	CDS	774	eutC	4.3.1.7		Ethanolamine ammonia-lyase light chain
Agy99_00119	gene	1206				
Agy99_00119	CDS	1206				hypothetical protein
Agy99_00120	gene	675				
Agy99_00120	CDS	675				hypothetical protein
Agy99_00121	gene	879				
Agy99_00121	CDS	879				hypothetical protein
Agy99_00122	gene	591				
Agy99_00122	CDS	591				hypothetical protein
Agy99_00123	gene	774				
Agy99_00123	CDS	774				hypothetical protein
Agy99_00124	gene	2391	cutL			
Agy99_00124	CDS	2391	cutL	1.2.5.3		Carbon monoxide dehydrogenase large chain
Agy99_00125	gene	483	coxS_1			
Agy99_00125	CDS	483	coxS_1	1.2.5.3		Carbon monoxide dehydrogenase small chain
Agy99_00126	gene	603	cutM			
Agy99_00126	CDS	603	cutM	1.2.5.3		Carbon monoxide dehydrogenase medium chain
Agy99_00127	gene	378				
Agy99_00127	CDS	378				hypothetical protein
Agy99_00128	gene	624				
Agy99_00128	CDS	624				hypothetical protein
Agy99_00129	gene	933				
Agy99_00129	CDS	933			COG0583	putative HTH-type transcriptional regulator
Agy99_00130	gene	201	secE2			
Agy99_00130	CDS	201	secE2		COG3360	Calcium dodecin
Agy99_00131	gene	645	trmH			
Agy99_00131	CDS	645	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
Agy99_00132	gene	894				
Agy99_00132	CDS	894				hypothetical protein
Agy99_00133	gene	540	pyrE_1			
Agy99_00133	CDS	540	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
Agy99_00134	gene	774				
Agy99_00134	CDS	774				hypothetical protein
Agy99_00135	gene	855				
Agy99_00135	CDS	855				hypothetical protein
Agy99_00136	gene	831	crt_1			
Agy99_00136	CDS	831	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
Agy99_00137	gene	2547	clpB			
Agy99_00137	CDS	2547	clpB		COG0542	Chaperone protein ClpB
Agy99_00138	gene	1182	hmp_1			
Agy99_00138	CDS	1182	hmp_1	1.14.12.17		Flavohemoprotein
Agy99_00139	gene	891				
Agy99_00139	CDS	891				hypothetical protein
Agy99_00140	gene	1302				
Agy99_00140	CDS	1302				hypothetical protein
Agy99_00141	gene	132				
Agy99_00141	CDS	132				hypothetical protein
Agy99_00142	gene	1335				
Agy99_00142	CDS	1335				IS256 family transposase IS2606
Agy99_00143	gene	132				
Agy99_00143	CDS	132				hypothetical protein
Agy99_00144	gene	1449				
Agy99_00144	CDS	1449				hypothetical protein
Agy99_00145	gene	366				
Agy99_00145	CDS	366				putative PPE family protein PPE38
Agy99_00146	gene	783				
Agy99_00146	CDS	783				putative PPE family protein PPE38
Agy99_00147	gene	1065	betI_1			
Agy99_00147	CDS	1065	betI_1			HTH-type transcriptional regulator BetI
Agy99_00148	gene	195				
Agy99_00148	CDS	195				hypothetical protein
Agy99_00149	gene	843	calA_1			
Agy99_00149	CDS	843	calA_1	1.1.1.194		Coniferyl-alcohol dehydrogenase
Agy99_00150	gene	651	yhfK			
Agy99_00150	CDS	651	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
Agy99_00151	gene	2292	metE			
Agy99_00151	CDS	2292	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
Agy99_00152	gene	1722				
Agy99_00152	CDS	1722				hypothetical protein
Agy99_00153	gene	510				
Agy99_00153	CDS	510				hypothetical protein
Agy99_00154	gene	1566	ppdK			
Agy99_00154	CDS	1566	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
Agy99_00155	gene	606				
Agy99_00155	CDS	606				hypothetical protein
Agy99_00156	gene	378				
Agy99_00156	CDS	378				hypothetical protein
Agy99_00157	gene	846				
Agy99_00157	CDS	846				hypothetical protein
Agy99_00158	gene	906	ephA_1			
Agy99_00158	CDS	906	ephA_1	3.3.2.10		Epoxide hydrolase A
Agy99_00159	gene	102				
Agy99_00159	CDS	102				hypothetical protein
Agy99_00160	gene	249				
Agy99_00160	CDS	249				hypothetical protein
Agy99_00161	gene	504	betI_2			
Agy99_00161	CDS	504	betI_2			HTH-type transcriptional regulator BetI
Agy99_00162	gene	477				
Agy99_00162	CDS	477				hypothetical protein
Agy99_00163	gene	867	menH_2			
Agy99_00163	CDS	867	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Agy99_00164	gene	1023				
Agy99_00164	CDS	1023		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
Agy99_00165	gene	1017	zwf1			
Agy99_00165	CDS	1017	zwf1	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 1
Agy99_00166	gene	834				
Agy99_00166	CDS	834				hypothetical protein
Agy99_00167	gene	165				
Agy99_00167	CDS	165				hypothetical protein
Agy99_00168	gene	702				
Agy99_00168	CDS	702				hypothetical protein
Agy99_00169	gene	330				
Agy99_00169	CDS	330				hypothetical protein
Agy99_00170	gene	447				
Agy99_00170	CDS	447				hypothetical protein
Agy99_00171	gene	240				
Agy99_00171	CDS	240				hypothetical protein
Agy99_00172	gene	1521				
Agy99_00172	CDS	1521		1.13.11.-	COG3670	Carotenoid cleavage oxygenase
Agy99_00173	gene	474				
Agy99_00173	CDS	474				hypothetical protein
Agy99_00174	gene	435				
Agy99_00174	CDS	435				hypothetical protein
Agy99_00175	gene	774				
Agy99_00175	CDS	774			COG3324	Putative glyoxylase CFP32
Agy99_00176	gene	531				
Agy99_00176	CDS	531				hypothetical protein
Agy99_00177	gene	645				
Agy99_00177	CDS	645				hypothetical protein
Agy99_00178	gene	447				
Agy99_00178	CDS	447				Toxin
Agy99_00179	gene	189				
Agy99_00179	CDS	189				Antitoxin
Agy99_00180	gene	1212				
Agy99_00180	CDS	1212				hypothetical protein
Agy99_00181	gene	1332				
Agy99_00181	CDS	1332				IS256 family transposase IS2606
Agy99_00182	gene	255				
Agy99_00182	CDS	255				IS256 family transposase IS2606
Agy99_00183	gene	1302				
Agy99_00183	CDS	1302				hypothetical protein
Agy99_00184	gene	1080	ychF			
Agy99_00184	CDS	1080	ychF		COG0012	Ribosome-binding ATPase YchF
Agy99_00185	gene	1194				
Agy99_00185	CDS	1194				hypothetical protein
Agy99_00186	gene	1047	ispH2			
Agy99_00186	CDS	1047	ispH2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
Agy99_00187	gene	552				
Agy99_00187	CDS	552				putative protein
Agy99_00188	gene	1248	xseA			
Agy99_00188	CDS	1248	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
Agy99_00189	gene	249	xseB			
Agy99_00189	CDS	249	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
Agy99_00190	gene	1083				
Agy99_00190	CDS	1083			COG0451	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
Agy99_00191	gene	258				
Agy99_00191	CDS	258				hypothetical protein
Agy99_00192	gene	267				
Agy99_00192	CDS	267				hypothetical protein
Agy99_00193	gene	1302				
Agy99_00193	CDS	1302				hypothetical protein
Agy99_00194	gene	1185	pnbA_1			
Agy99_00194	CDS	1185	pnbA_1	3.1.1.-	COG2272	Para-nitrobenzyl esterase
Agy99_00195	gene	1158				
Agy99_00195	CDS	1158			COG0628	Putative transport protein
Agy99_00196	gene	801				
Agy99_00196	CDS	801				hypothetical protein
Agy99_00197	gene	582				
Agy99_00197	CDS	582				hypothetical protein
Agy99_00198	gene	1089	glpX			
Agy99_00198	CDS	1089	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
Agy99_00199	gene	1431	fumC			
Agy99_00199	CDS	1431	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
Agy99_00200	gene	993				
Agy99_00200	CDS	993				hypothetical protein
Agy99_00201	gene	684				
Agy99_00201	CDS	684			COG2114	putative protein
Agy99_00202	gene	465				
Agy99_00202	CDS	465				hypothetical protein
Agy99_00203	gene	876				
Agy99_00203	CDS	876				hypothetical protein
Agy99_00204	gene	888				
Agy99_00204	CDS	888				hypothetical protein
Agy99_00205	gene	420				
Agy99_00205	CDS	420				hypothetical protein
Agy99_00206	gene	906	desA2			
Agy99_00206	CDS	906	desA2	1.14.19.-		Putative acyl-[acyl-carrier-protein] desaturase DesA2
Agy99_00207	gene	1416	glyA1			
Agy99_00207	CDS	1416	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
Agy99_00208	gene	939	coaA			
Agy99_00208	CDS	939	coaA	2.7.1.33	COG1072	Pantothenate kinase
Agy99_00209	gene	981				
Agy99_00209	CDS	981				hypothetical protein
Agy99_00210	gene	414				
Agy99_00210	CDS	414				hypothetical protein
Agy99_00211	gene	1368				
Agy99_00211	CDS	1368				hypothetical protein
Agy99_00212	gene	816				
Agy99_00212	CDS	816		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
Agy99_00213	gene	750				
Agy99_00213	CDS	750				hypothetical protein
Agy99_00214	gene	384	ksi			
Agy99_00214	CDS	384	ksi	5.3.3.1		Steroid Delta-isomerase
Agy99_00215	gene	2025				
Agy99_00215	CDS	2025				hypothetical protein
Agy99_00216	gene	300				
Agy99_00216	CDS	300				hypothetical protein
Agy99_00217	gene	873	mca			
Agy99_00217	CDS	873	mca	3.5.1.115	COG2120	Mycothiol S-conjugate amidase
Agy99_00218	gene	435				
Agy99_00218	CDS	435				hypothetical protein
Agy99_00219	gene	495	greA			
Agy99_00219	CDS	495	greA		COG0782	Transcription elongation factor GreA
Agy99_00220	gene	1167	metB			
Agy99_00220	CDS	1167	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
Agy99_00221	gene	441	pra			
Agy99_00221	CDS	441	pra		COG1714	Proline-rich antigen 
Agy99_00222	gene	1404	cbs			
Agy99_00222	CDS	1404	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
Agy99_00223	gene	774	lipF			
Agy99_00223	CDS	774	lipF	3.1.1.1		Carboxylesterase LipF
Agy99_00224	gene	957				
Agy99_00224	CDS	957				hypothetical protein
Agy99_00225	gene	1218	fadA_1			
Agy99_00225	CDS	1218	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
Agy99_00226	gene	843				
Agy99_00226	CDS	843				hypothetical protein
Agy99_00227	gene	1050	caiD_1			
Agy99_00227	CDS	1050	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
Agy99_00228	gene	774	echA8_1			
Agy99_00228	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
Agy99_00229	gene	1797				
Agy99_00229	CDS	1797				hypothetical protein
Agy99_00230	gene	1911				
Agy99_00230	CDS	1911				hypothetical protein
Agy99_00231	gene	891				
Agy99_00231	CDS	891				hypothetical protein
Agy99_00232	gene	1302				
Agy99_00232	CDS	1302				hypothetical protein
Agy99_00233	gene	807				
Agy99_00233	CDS	807				hypothetical protein
Agy99_00234	gene	384				
Agy99_00234	CDS	384				hypothetical protein
Agy99_00235	gene	582				
Agy99_00235	CDS	582				hypothetical protein
Agy99_00236	gene	420				
Agy99_00236	CDS	420				hypothetical protein
Agy99_00237	gene	1065				
Agy99_00237	CDS	1065			COG1752	putative NTE family protein
Agy99_00238	gene	168				
Agy99_00238	CDS	168				hypothetical protein
Agy99_00239	gene	741				
Agy99_00239	CDS	741				hypothetical protein
Agy99_00240	gene	879	egtC_1			
Agy99_00240	CDS	879	egtC_1	3.5.1.118		Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
Agy99_00241	gene	474				
Agy99_00241	CDS	474				hypothetical protein
Agy99_00242	gene	918				
Agy99_00242	CDS	918				hypothetical protein
Agy99_00243	gene	234	lipY_1			
Agy99_00243	CDS	234	lipY_1	3.1.1.3		Triacylglycerol lipase
Agy99_00244	gene	960				
Agy99_00244	CDS	960				hypothetical protein
Agy99_00245	gene	318				
Agy99_00245	CDS	318				hypothetical protein
Agy99_00246	gene	882				
Agy99_00246	CDS	882		1.8.3.7	COG1262	Formylglycine-generating enzyme
Agy99_00247	gene	897				
Agy99_00247	CDS	897				hypothetical protein
Agy99_00248	gene	1551				
Agy99_00248	CDS	1551				hypothetical protein
Agy99_00249	gene	816				
Agy99_00249	CDS	816				hypothetical protein
Agy99_00250	gene	1632	dmdB			
Agy99_00250	CDS	1632	dmdB	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
Agy99_00251	gene	1200				
Agy99_00251	CDS	1200				hypothetical protein
Agy99_00252	gene	1302				
Agy99_00252	CDS	1302				hypothetical protein
Agy99_00253	gene	2376	ctpE			
Agy99_00253	CDS	2376	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
Agy99_00254	gene	798				
Agy99_00254	CDS	798				hypothetical protein
Agy99_00255	gene	738				
Agy99_00255	CDS	738				hypothetical protein
Agy99_00256	gene	1119				
Agy99_00256	CDS	1119			COG2220	putative protein
Agy99_00257	gene	732	echA6			
Agy99_00257	CDS	732	echA6	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA6
Agy99_00258	gene	1482	accD3			
Agy99_00258	CDS	1482	accD3	6.4.1.2	COG0777	Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
Agy99_00259	gene	1500	stp_1			
Agy99_00259	CDS	1500	stp_1			Multidrug resistance protein Stp
Agy99_00260	gene	1263	kbl			
Agy99_00260	CDS	1263	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
Agy99_00261	gene	945	cysM			
Agy99_00261	CDS	945	cysM	2.5.1.113	COG0031	O-phosphoserine sulfhydrylase
Agy99_00262	gene	225				
Agy99_00262	CDS	225				hypothetical protein
Agy99_00263	gene	561				
Agy99_00263	CDS	561				hypothetical protein
Agy99_00264	gene	432				
Agy99_00264	CDS	432				hypothetical protein
Agy99_00265	gene	612				
Agy99_00265	CDS	612				hypothetical protein
Agy99_00266	gene	126				
Agy99_00266	CDS	126		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
Agy99_00267	gene	1380				
Agy99_00267	CDS	1380		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
Agy99_00268	gene	711	prrA			
Agy99_00268	CDS	711	prrA			Transcriptional regulatory protein PrrA
Agy99_00269	gene	1344	prrB			
Agy99_00269	CDS	1344	prrB	2.7.13.3	COG0642	Sensor-type histidine kinase PrrB
Agy99_00270	gene	336				
Agy99_00270	CDS	336				hypothetical protein
Agy99_00271	gene	279				
Agy99_00271	CDS	279				hypothetical protein
Agy99_00272	gene	234				
Agy99_00272	CDS	234				hypothetical protein
Agy99_00273	gene	999	arfA			
Agy99_00273	CDS	999	arfA		COG2885	Peptidoglycan-binding protein ArfA
Agy99_00274	gene	264				
Agy99_00274	CDS	264				putative protein
Agy99_00275	gene	1575				
Agy99_00275	CDS	1575			COG1233	putative protein
Agy99_00276	gene	1296	gltA2			
Agy99_00276	CDS	1296	gltA2	2.3.3.16	COG0372	Citrate synthase 1
Agy99_00277	gene	1470				
Agy99_00277	CDS	1470		1.14.13.-	COG2072	putative monooxygenase
Agy99_00278	gene	489	pdxH			
Agy99_00278	CDS	489	pdxH	1.4.3.5	COG0259	Pyridoxine 5'-phosphate oxidase
Agy99_00279	gene	930				
Agy99_00279	CDS	930				hypothetical protein
Agy99_00280	gene	855	citA			
Agy99_00280	CDS	855	citA	2.3.3.16	COG0372	Putative citrate synthase 2
Agy99_00281	gene	399	spmT_1			
Agy99_00281	CDS	399	spmT_1	3.1.4.12		Sphingomyelinase
Agy99_00282	gene	1302				
Agy99_00282	CDS	1302				hypothetical protein
Agy99_00283	gene	918				
Agy99_00283	CDS	918				IS256 family transposase IS2606
Agy99_00284	gene	897	spmT_2			
Agy99_00284	CDS	897	spmT_2	3.1.4.12		Sphingomyelinase
Agy99_00285	gene	459				
Agy99_00285	CDS	459			COG2764	putative protein
Agy99_00286	gene	1686	fprB			
Agy99_00286	CDS	1686	fprB	1.18.1.2	COG0493	putative ferredoxin/ferredoxin--NADP reductase
Agy99_00287	gene	1026				
Agy99_00287	CDS	1026				putative protein
Agy99_00288	gene	1299	serC			
Agy99_00288	CDS	1299	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
Agy99_00289	gene	792				
Agy99_00289	CDS	792				putative protein
Agy99_00290	gene	288				
Agy99_00290	CDS	288				hypothetical protein
Agy99_00291	gene	840	rlmB			
Agy99_00291	CDS	840	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
