locus_tag	ftype	length_bp	gene	EC_number	COG	product
P7741_00021	CDS	426	tipA_1			HTH-type transcriptional activator TipA
P7741_00022	gene	366	tipA_2			
P7741_00022	CDS	366	tipA_2			HTH-type transcriptional activator TipA
P7741_00023	gene	429	cwsA			
P7741_00023	CDS	429	cwsA			Cell wall synthesis protein CwsA
P7741_00024	gene	549	ppiA			
P7741_00024	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
P7741_00025	gene	360				
P7741_00025	CDS	360				hypothetical protein
P7741_00026	gene	282	crgA			
P7741_00026	CDS	282	crgA			Cell division protein CrgA
P7741_00027	gene	744				
P7741_00027	CDS	744				hypothetical protein
P7741_00028	gene	687	trpG			
P7741_00028	CDS	687	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
P7741_00029	gene	1881	pknB			
P7741_00029	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
P7741_00030	gene	1359	pknA			
P7741_00030	CDS	1359	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
P7741_00031	gene	1476	pbpA			
P7741_00031	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
P7741_00032	gene	1410	rodA			
P7741_00032	CDS	1410	rodA		COG0772	putative FtsW-like protein
P7741_00033	gene	1560	pstP			
P7741_00033	CDS	1560	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
P7741_00034	gene	468	fhaB			
P7741_00034	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
P7741_00035	gene	1587	fhaA			
P7741_00035	CDS	1587	fhaA		COG1716	FHA domain-containing protein FhaA
P7741_00036	gene	84				
P7741_00036	tRNA	84				tRNA-Leu(cag)
P7741_00037	gene	648				
P7741_00037	CDS	648				hypothetical protein
P7741_00038	gene	801				
P7741_00038	CDS	801				hypothetical protein
P7741_00039	gene	753				
P7741_00039	CDS	753				hypothetical protein
P7741_00040	gene	1005	osmX			
P7741_00040	CDS	1005	osmX		COG1732	Osmoprotectant-binding protein OsmX
P7741_00041	gene	810				
P7741_00041	CDS	810				hypothetical protein
P7741_00042	gene	1167	opuCA			
P7741_00042	CDS	1167	opuCA		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
P7741_00043	gene	294	opuCB			
P7741_00043	CDS	294	opuCB		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
P7741_00044	gene	255				
P7741_00044	CDS	255				hypothetical protein
P7741_00045	gene	753				
P7741_00045	CDS	753				putative protein
P7741_00046	gene	1293				
P7741_00046	CDS	1293			COG0477	putative MFS-type transporter
P7741_00047	gene	648				
P7741_00047	CDS	648				hypothetical protein
P7741_00048	gene	1041				
P7741_00048	CDS	1041				hypothetical protein
P7741_00049	gene	351				
P7741_00049	CDS	351				hypothetical protein
P7741_00050	gene	594				
P7741_00050	CDS	594				Proline-rich 28 kDa antigen
P7741_00051	gene	3000	leuS			
P7741_00051	CDS	3000	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
P7741_00052	gene	666				
P7741_00052	CDS	666		1.-.-.-	COG4221	putative oxidoreductase
P7741_00053	gene	1311	btuD_1			
P7741_00053	CDS	1311	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
P7741_00054	gene	432	glnM			
P7741_00054	CDS	432	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
P7741_00055	gene	1365				
P7741_00055	CDS	1365				hypothetical protein
P7741_00056	gene	765				
P7741_00056	CDS	765			COG1802	putative HTH-type transcriptional regulator
P7741_00057	gene	798	rutA			
P7741_00057	CDS	798	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
P7741_00058	gene	294				
P7741_00058	CDS	294				hypothetical protein
P7741_00059	gene	429	menH_1			
P7741_00059	CDS	429	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
P7741_00060	gene	1119	ino1			
P7741_00060	CDS	1119	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
P7741_00061	gene	543				
P7741_00061	CDS	543				hypothetical protein
P7741_00062	gene	471				
P7741_00062	CDS	471				putative protein
P7741_00063	gene	477				
P7741_00063	CDS	477				putative protein
P7741_00064	gene	414				
P7741_00064	CDS	414				putative protein
P7741_00065	gene	2556	ponA1			
P7741_00065	CDS	2556	ponA1		COG0744	Penicillin-binding protein 1A
P7741_00066	gene	1641				
P7741_00066	CDS	1641				hypothetical protein
P7741_00067	gene	639	inhA_1			
P7741_00067	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
P7741_00068	gene	291	rpsF			
P7741_00068	CDS	291	rpsF		COG0360	30S ribosomal protein S6
P7741_00069	gene	519	ssb			
P7741_00069	CDS	519	ssb		COG0629	Single-stranded DNA-binding protein
P7741_00070	gene	255	rpsR1			
P7741_00070	CDS	255	rpsR1		COG0238	30S ribosomal protein S18 1
P7741_00071	gene	459	rplI			
P7741_00071	CDS	459	rplI		COG0359	50S ribosomal protein L9
P7741_00072	gene	189				
P7741_00072	CDS	189				hypothetical protein
P7741_00073	gene	1383	dnaB			
P7741_00073	CDS	1383	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
P7741_00074	gene	645				
P7741_00074	CDS	645				hypothetical protein
P7741_00075	gene	240				
P7741_00075	CDS	240				hypothetical protein
P7741_00076	gene	594	menH_2			
P7741_00076	CDS	594	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
P7741_00077	gene	1767				
P7741_00077	CDS	1767				hypothetical protein
P7741_00078	gene	603				
P7741_00078	CDS	603				hypothetical protein
P7741_00079	gene	660				
P7741_00079	CDS	660				putative protein
P7741_00080	gene	1596	mdtD_1			
P7741_00080	CDS	1596	mdtD_1			Putative multidrug resistance protein MdtD
P7741_00081	gene	288	mmpL4_1			
P7741_00081	CDS	288	mmpL4_1		COG2409	Siderophore exporter MmpL4
P7741_00082	gene	654	fcl_1			
P7741_00082	CDS	654	fcl_1	1.1.1.271		GDP-L-fucose synthase
P7741_00083	gene	405				
P7741_00083	CDS	405				hypothetical protein
P7741_00084	gene	831				
P7741_00084	CDS	831				hypothetical protein
P7741_00085	gene	930	glfT1			
P7741_00085	CDS	930	glfT1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
P7741_00086	gene	843	btuD_2			
P7741_00086	CDS	843	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
P7741_00087	gene	534	bpa			
P7741_00087	CDS	534	bpa			Bacterial proteasome activator
P7741_00088	gene	1974				
P7741_00088	CDS	1974				hypothetical protein
P7741_00089	gene	1197				
P7741_00089	CDS	1197			COG0520	putative protein
P7741_00090	gene	993	ppsC_1			
P7741_00090	CDS	993	ppsC_1	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
P7741_00091	gene	90				
P7741_00091	tRNA	90				tRNA-Ser(tga)
P7741_00092	gene	315				
P7741_00092	CDS	315				hypothetical protein
P7741_00093	gene	828				
P7741_00093	CDS	828				putative PPE family protein PPE42
P7741_00094	gene	762				
P7741_00094	CDS	762			COG2239	Magnesium transporter MgtE
P7741_00095	gene	1035	fba			
P7741_00095	CDS	1035	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
P7741_00096	gene	693				
P7741_00096	CDS	693			COG0586	putative membrane protein
P7741_00097	gene	1116				
P7741_00097	CDS	1116				hypothetical protein
P7741_00098	gene	933	cya_1			
P7741_00098	CDS	933	cya_1	4.6.1.1	COG2114	Adenylate cyclase
P7741_00099	gene	1128				
P7741_00099	CDS	1128				hypothetical protein
P7741_00100	gene	1353	eutB			
P7741_00100	CDS	1353	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
P7741_00101	gene	774	eutC			
P7741_00101	CDS	774	eutC	4.3.1.7		Ethanolamine ammonia-lyase light chain
P7741_00102	gene	1206				
P7741_00102	CDS	1206				hypothetical protein
P7741_00103	gene	615				
P7741_00103	CDS	615				hypothetical protein
P7741_00104	gene	879				
P7741_00104	CDS	879				hypothetical protein
P7741_00105	gene	591				
P7741_00105	CDS	591				hypothetical protein
P7741_00106	gene	408				
P7741_00106	CDS	408				hypothetical protein
P7741_00107	gene	522				
P7741_00107	CDS	522				hypothetical protein
P7741_00108	gene	2178	cutL			
P7741_00108	CDS	2178	cutL	1.2.5.3		Carbon monoxide dehydrogenase large chain
P7741_00109	gene	246				
P7741_00109	CDS	246				hypothetical protein
P7741_00110	gene	483	coxS_1			
P7741_00110	CDS	483	coxS_1	1.2.5.3		Carbon monoxide dehydrogenase small chain
P7741_00111	gene	327				
P7741_00111	CDS	327				hypothetical protein
P7741_00112	gene	1155	pucA			
P7741_00112	CDS	1155	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
P7741_00113	gene	966				
P7741_00113	CDS	966			COG0583	putative HTH-type transcriptional regulator
P7741_00114	gene	216	secE2			
P7741_00114	CDS	216	secE2		COG3360	Calcium dodecin
P7741_00115	gene	645	trmH_1			
P7741_00115	CDS	645	trmH_1	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
P7741_00116	gene	894				
P7741_00116	CDS	894				hypothetical protein
P7741_00117	gene	540	pyrE_1			
P7741_00117	CDS	540	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
P7741_00118	gene	264				
P7741_00118	CDS	264				hypothetical protein
P7741_00119	gene	462				
P7741_00119	CDS	462		1.-.-.-		putative oxidoreductase
P7741_00120	gene	855				
P7741_00120	CDS	855				hypothetical protein
P7741_00121	gene	870	crt_1			
P7741_00121	CDS	870	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
P7741_00122	gene	2547	clpB			
P7741_00122	CDS	2547	clpB		COG0542	Chaperone protein ClpB
P7741_00123	gene	1182	hmp_1			
P7741_00123	CDS	1182	hmp_1	1.14.12.17		Flavohemoprotein
P7741_00124	gene	321				
P7741_00124	CDS	321				hypothetical protein
P7741_00125	gene	1311	betI_1			
P7741_00125	CDS	1311	betI_1			HTH-type transcriptional regulator BetI
P7741_00126	gene	843	calA_1			
P7741_00126	CDS	843	calA_1	1.1.1.194		Coniferyl-alcohol dehydrogenase
P7741_00127	gene	651	yhfK			
P7741_00127	CDS	651	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
P7741_00128	gene	2292	metE			
P7741_00128	CDS	2292	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
P7741_00129	gene	1722				
P7741_00129	CDS	1722				hypothetical protein
P7741_00130	gene	510				
P7741_00130	CDS	510				hypothetical protein
P7741_00131	gene	1566	ppdK			
P7741_00131	CDS	1566	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
P7741_00132	gene	606				
P7741_00132	CDS	606				hypothetical protein
P7741_00133	gene	1227				
P7741_00133	CDS	1227				hypothetical protein
P7741_00134	gene	183				
P7741_00134	CDS	183				hypothetical protein
P7741_00135	gene	663	ephA_1			
P7741_00135	CDS	663	ephA_1	3.3.2.10		Epoxide hydrolase A
P7741_00136	gene	249				
P7741_00136	CDS	249				hypothetical protein
P7741_00137	gene	588	betI_2			
P7741_00137	CDS	588	betI_2			HTH-type transcriptional regulator BetI
P7741_00138	gene	477				
P7741_00138	CDS	477				hypothetical protein
P7741_00139	gene	2817	bioF_1			
P7741_00139	CDS	2817	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
P7741_00140	gene	120				
P7741_00140	CDS	120				hypothetical protein
P7741_00141	gene	1023				
P7741_00141	CDS	1023		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
P7741_00142	gene	1143	zwf1			
P7741_00142	CDS	1143	zwf1	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 1
P7741_00143	gene	834				
P7741_00143	CDS	834				hypothetical protein
P7741_00144	gene	165				
P7741_00144	CDS	165				hypothetical protein
P7741_00145	gene	702				
P7741_00145	CDS	702				hypothetical protein
P7741_00146	gene	330				
P7741_00146	CDS	330				hypothetical protein
P7741_00147	gene	519				
P7741_00147	CDS	519				hypothetical protein
P7741_00148	gene	951				
P7741_00148	CDS	951				putative PPE family protein PPE29
P7741_00149	gene	1245				
P7741_00149	CDS	1245				hypothetical protein
P7741_00150	gene	1545				
P7741_00150	CDS	1545		1.13.11.-	COG3670	Carotenoid cleavage oxygenase
P7741_00151	gene	474				
P7741_00151	CDS	474				hypothetical protein
P7741_00152	gene	435				
P7741_00152	CDS	435				hypothetical protein
P7741_00153	gene	774				
P7741_00153	CDS	774			COG3324	Putative glyoxylase CFP32
P7741_00154	gene	1254	espE_1			
P7741_00154	CDS	1254	espE_1			ESX-1 secretion-associated protein EspE
P7741_00155	gene	447				
P7741_00155	CDS	447				Toxin
P7741_00156	gene	189				
P7741_00156	CDS	189				Antitoxin
P7741_00157	gene	201				
P7741_00157	CDS	201				hypothetical protein
P7741_00158	gene	132				
P7741_00158	CDS	132				hypothetical protein
P7741_00159	gene	153				
P7741_00159	CDS	153				hypothetical protein
P7741_00160	gene	123				
P7741_00160	CDS	123				hypothetical protein
P7741_00161	gene	189	espK_1			
P7741_00161	CDS	189	espK_1			ESX-1 secretion-associated protein EspK
P7741_00162	gene	567	espK_2			
P7741_00162	CDS	567	espK_2			ESX-1 secretion-associated protein EspK
P7741_00163	gene	783	espJ_1			
P7741_00163	CDS	783	espJ_1			ESX-1 secretion-associated protein EspJ
P7741_00164	gene	1101	ychF			
P7741_00164	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
P7741_00165	gene	1200				
P7741_00165	CDS	1200				hypothetical protein
P7741_00166	gene	1056	ispH2			
P7741_00166	CDS	1056	ispH2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
P7741_00167	gene	552				
P7741_00167	CDS	552				putative protein
P7741_00168	gene	1248	xseA			
P7741_00168	CDS	1248	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
P7741_00169	gene	249	xseB			
P7741_00169	CDS	249	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
P7741_00170	gene	1095				
P7741_00170	CDS	1095			COG0451	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
P7741_00171	gene	258				
P7741_00171	CDS	258				hypothetical protein
P7741_00172	gene	402				
P7741_00172	CDS	402				hypothetical protein
P7741_00173	gene	294	lipY			
P7741_00173	CDS	294	lipY	3.1.1.3		Triacylglycerol lipase
P7741_00174	gene	372				
P7741_00174	CDS	372				hypothetical protein
P7741_00175	gene	1590	pnbA_1			
P7741_00175	CDS	1590	pnbA_1	3.1.1.-	COG2272	Para-nitrobenzyl esterase
P7741_00176	gene	465				
P7741_00176	CDS	465			COG0628	Putative transport protein
P7741_00177	gene	735				
P7741_00177	CDS	735				hypothetical protein
P7741_00178	gene	582				
P7741_00178	CDS	582				hypothetical protein
P7741_00179	gene	1089	glpX			
P7741_00179	CDS	1089	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
P7741_00180	gene	1431	fumC			
P7741_00180	CDS	1431	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
P7741_00181	gene	993				
P7741_00181	CDS	993				hypothetical protein
P7741_00182	gene	1509				
P7741_00182	CDS	1509			COG2114	putative protein
P7741_00183	gene	876				
P7741_00183	CDS	876				hypothetical protein
P7741_00184	gene	1302				
P7741_00184	CDS	1302				hypothetical protein
P7741_00185	gene	906	desA2			
P7741_00185	CDS	906	desA2	1.14.19.-		Putative acyl-[acyl-carrier-protein] desaturase DesA2
P7741_00186	gene	1416	glyA1			
P7741_00186	CDS	1416	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
P7741_00187	gene	939	coaA			
P7741_00187	CDS	939	coaA	2.7.1.33	COG1072	Pantothenate kinase
P7741_00188	gene	282				
P7741_00188	CDS	282				hypothetical protein
P7741_00189	gene	312				
P7741_00189	CDS	312				hypothetical protein
P7741_00190	gene	414				
P7741_00190	CDS	414				hypothetical protein
P7741_00191	gene	354				
P7741_00191	CDS	354				hypothetical protein
P7741_00192	gene	948				
P7741_00192	CDS	948				hypothetical protein
P7741_00193	gene	816				
P7741_00193	CDS	816		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
P7741_00194	gene	750				
P7741_00194	CDS	750				hypothetical protein
P7741_00195	gene	384	ksi			
P7741_00195	CDS	384	ksi	5.3.3.1		Steroid Delta-isomerase
P7741_00196	gene	2025				
P7741_00196	CDS	2025				hypothetical protein
P7741_00197	gene	300				
P7741_00197	CDS	300				hypothetical protein
P7741_00198	gene	873	mca			
P7741_00198	CDS	873	mca	3.5.1.115	COG2120	Mycothiol S-conjugate amidase
P7741_00199	gene	435				
P7741_00199	CDS	435				hypothetical protein
P7741_00200	gene	495	greA			
P7741_00200	CDS	495	greA		COG0782	Transcription elongation factor GreA
P7741_00201	gene	1167	metB			
P7741_00201	CDS	1167	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
P7741_00202	gene	441	pra			
P7741_00202	CDS	441	pra		COG1714	Proline-rich antigen 
P7741_00203	gene	1404	cbs			
P7741_00203	CDS	1404	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
P7741_00204	gene	1068	aes_1			
P7741_00204	CDS	1068	aes_1	3.1.1.-		Acetyl esterase
P7741_00205	gene	972				
P7741_00205	CDS	972		3.1.-.-	COG2755	GDSL-like esterase
P7741_00206	gene	1218	fadA_1			
P7741_00206	CDS	1218	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
P7741_00207	gene	843				
P7741_00207	CDS	843				hypothetical protein
P7741_00208	gene	1050	caiD_1			
P7741_00208	CDS	1050	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
P7741_00209	gene	774	echA8_1			
P7741_00209	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
P7741_00210	gene	1746				
P7741_00210	CDS	1746				hypothetical protein
P7741_00211	gene	582				
P7741_00211	CDS	582				hypothetical protein
P7741_00212	gene	321				
P7741_00212	CDS	321				hypothetical protein
P7741_00213	gene	120				
P7741_00213	CDS	120				hypothetical protein
P7741_00214	gene	384				
P7741_00214	CDS	384				hypothetical protein
P7741_00215	gene	582				
P7741_00215	CDS	582				hypothetical protein
P7741_00216	gene	468				
P7741_00216	CDS	468				hypothetical protein
P7741_00217	gene	1065				
P7741_00217	CDS	1065			COG1752	putative NTE family protein
P7741_00218	gene	870				
P7741_00218	CDS	870				hypothetical protein
P7741_00219	gene	891	egtC_1			
P7741_00219	CDS	891	egtC_1	3.5.1.118		Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
P7741_00220	gene	474				
P7741_00220	CDS	474				hypothetical protein
P7741_00221	gene	156				
P7741_00221	CDS	156				hypothetical protein
P7741_00222	gene	882				
P7741_00222	CDS	882		1.8.3.7	COG1262	Formylglycine-generating enzyme
P7741_00223	gene	534				
P7741_00223	CDS	534				hypothetical protein
P7741_00224	gene	243				
P7741_00224	CDS	243				hypothetical protein
P7741_00225	gene	1551				
P7741_00225	CDS	1551				hypothetical protein
P7741_00226	gene	1059	ord_1			
P7741_00226	CDS	1059	ord_1	1.4.1.26		2,4-diaminopentanoate dehydrogenase
P7741_00227	gene	1539	dmdB			
P7741_00227	CDS	1539	dmdB	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
P7741_00228	gene	1200				
P7741_00228	CDS	1200				hypothetical protein
P7741_00229	gene	786				
P7741_00229	CDS	786				hypothetical protein
P7741_00230	gene	438				
P7741_00230	CDS	438				hypothetical protein
P7741_00231	gene	1602				
P7741_00231	CDS	1602				hypothetical protein
P7741_00232	gene	279				
P7741_00232	CDS	279				hypothetical protein
P7741_00233	gene	486				
P7741_00233	CDS	486				hypothetical protein
P7741_00234	gene	624				
P7741_00234	CDS	624				hypothetical protein
P7741_00235	gene	198				
P7741_00235	CDS	198				hypothetical protein
P7741_00236	gene	276				
P7741_00236	CDS	276				hypothetical protein
P7741_00237	gene	2445	dmg			
P7741_00237	CDS	2445	dmg	1.5.3.10		Dimethylglycine oxidase
P7741_00238	gene	1143	soxA			
P7741_00238	CDS	1143	soxA	1.5.3.1		Monomeric sarcosine oxidase
P7741_00239	gene	933	cntA			
P7741_00239	CDS	933	cntA	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
P7741_00240	gene	207				
P7741_00240	CDS	207				hypothetical protein
P7741_00241	gene	831	xynR			
P7741_00241	CDS	831	xynR		COG1414	HTH-type transcriptional regulator XynR
P7741_00242	gene	717				
P7741_00242	CDS	717				hypothetical protein
P7741_00243	gene	744	COQ3_1			
P7741_00243	CDS	744	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
P7741_00244	gene	1008	nphR			
P7741_00244	CDS	1008	nphR			Transcriptional activator NphR
P7741_00245	gene	183				
P7741_00245	CDS	183				hypothetical protein
P7741_00246	gene	1002	betA_1			
P7741_00246	CDS	1002	betA_1	1.1.99.1		Oxygen-dependent choline dehydrogenase
P7741_00247	gene	510	mmpL4_2			
P7741_00247	CDS	510	mmpL4_2		COG2409	Siderophore exporter MmpL4
P7741_00248	gene	237				
P7741_00248	CDS	237				hypothetical protein
P7741_00249	gene	204				
P7741_00249	CDS	204				hypothetical protein
P7741_00250	gene	990	cstA			
P7741_00250	CDS	990	cstA		COG1966	Peptide transporter CstA
P7741_00251	gene	1467	hscA_1			
P7741_00251	CDS	1467	hscA_1			Chaperone protein HscA
P7741_00252	gene	2376	ctpE			
P7741_00252	CDS	2376	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
P7741_00253	gene	1584	dap_1			
P7741_00253	CDS	1584	dap_1	3.4.11.19		D-aminopeptidase
P7741_00254	gene	1056				
P7741_00254	CDS	1056			COG2220	putative protein
P7741_00255	gene	732	echA6_1			
P7741_00255	CDS	732	echA6_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA6
P7741_00256	gene	1482	accD3			
P7741_00256	CDS	1482	accD3	6.4.1.2	COG0777	Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
P7741_00257	gene	1446	stp_1			
P7741_00257	CDS	1446	stp_1			Multidrug resistance protein Stp
P7741_00258	gene	150				
P7741_00258	CDS	150				hypothetical protein
P7741_00259	gene	615	pigH			
P7741_00259	CDS	615	pigH	2.3.2.-		4-hydroxy-2,2'-bipyrrole-5-methanol synthase PigH
P7741_00260	gene	945	cysM			
P7741_00260	CDS	945	cysM	2.5.1.113	COG0031	O-phosphoserine sulfhydrylase
P7741_00261	gene	180				
P7741_00261	CDS	180				hypothetical protein
P7741_00262	gene	231				
P7741_00262	CDS	231				hypothetical protein
P7741_00263	gene	612				
P7741_00263	CDS	612				hypothetical protein
P7741_00264	gene	477				
P7741_00264	CDS	477				hypothetical protein
P7741_00265	gene	243				
P7741_00265	CDS	243				hypothetical protein
P7741_00266	gene	696				
P7741_00266	CDS	696		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
P7741_00267	gene	702	prrA			
P7741_00267	CDS	702	prrA			Transcriptional regulatory protein PrrA
P7741_00268	gene	1359	prrB			
P7741_00268	CDS	1359	prrB	2.7.13.3	COG0642	Sensor-type histidine kinase PrrB
P7741_00269	gene	639	arfC			
P7741_00269	CDS	639	arfC			putative membrane protein ArfC
P7741_00270	gene	216				
P7741_00270	CDS	216				hypothetical protein
P7741_00271	gene	999	arfA			
P7741_00271	CDS	999	arfA		COG2885	Peptidoglycan-binding protein ArfA
P7741_00272	gene	264				
P7741_00272	CDS	264				putative protein
P7741_00273	gene	291				
P7741_00273	CDS	291			COG1233	putative protein
P7741_00274	gene	1185				
P7741_00274	CDS	1185			COG1233	putative protein
P7741_00275	gene	1296	gltA2			
P7741_00275	CDS	1296	gltA2	2.3.3.16	COG0372	Citrate synthase 1
P7741_00276	gene	261				
P7741_00276	CDS	261		1.14.13.-	COG2072	putative monooxygenase
P7741_00277	gene	831				
P7741_00277	CDS	831		1.14.13.-	COG2072	putative monooxygenase
P7741_00278	gene	660	pdxH			
P7741_00278	CDS	660	pdxH	1.4.3.5	COG0259	Pyridoxine 5'-phosphate oxidase
P7741_00279	gene	252	citA_1			
P7741_00279	CDS	252	citA_1	2.3.3.16	COG0372	Putative citrate synthase 2
P7741_00280	gene	906	citA_2			
P7741_00280	CDS	906	citA_2	2.3.3.16	COG0372	Putative citrate synthase 2
P7741_00281	gene	852	spmT_1			
P7741_00281	CDS	852	spmT_1	3.1.4.12		Sphingomyelinase
P7741_00282	gene	630	spmT_2			
P7741_00282	CDS	630	spmT_2	3.1.4.12		Sphingomyelinase
P7741_00283	gene	351				
P7741_00283	CDS	351			COG2764	putative protein
P7741_00284	gene	1686	fprB			
P7741_00284	CDS	1686	fprB	1.18.1.2	COG0493	putative ferredoxin/ferredoxin--NADP reductase
P7741_00285	gene	1026				
P7741_00285	CDS	1026				putative protein
P7741_00286	gene	1299	serC			
P7741_00286	CDS	1299	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
P7741_00287	gene	792				
P7741_00287	CDS	792				putative protein
P7741_00288	gene	288				
P7741_00288	CDS	288				hypothetical protein
P7741_00289	gene	840	rlmB			
P7741_00289	CDS	840	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
P7741_00290	gene	288				
P7741_00290	CDS	288			COG1846	putative HTH-type transcriptional regulator
P7741_00291	gene	282				
P7741_00291	CDS	282				hypothetical protein
